sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"IMP0500B150A05PR14071","Impeller 0500mm 'B' 150A05PR 14mm 071Frame Deg00 -17 DEG",,"R 782.25","782.25","0","0","0","-782.25","1","Yes","Yes"
"IMP0500B150A10AR14071","Impeller 0500mm 'B' 150A10AR 14mm 071Frame Deg00 -10 DEG",,"R 1,571.25","1571.25","0","0","0","-1571.25","1","Yes","Yes"
"IMP0500B150A10AR19071","Impeller 0500mm 'B' 150A10AR 19mm 071Frame Deg00 -28 DEG",,"R 1,361.75","1361.75","0","0","0","-1361.75","1","Yes","Yes"
"IMP0500B150A10AR24090","Impeller 0500mm 'B' 150A10AR 24mm 090Frame Deg16",,"R 1,571.25","1571.25","0","0","0","-1571.25","1","Yes","Yes"
"IMP0500B150A10AR24090.","Impeller 0500mm 'B' 150A10AR 24mm 090Fram 16deg",,"R 1,571.25","1571.25","0","0","0","-1571.25","-1","Yes","Yes"
"IMP0500B150A10AR28100","Impeller 0500mm 'B' 150A10AR 28mm 100Frame Deg00 -25 DEG",,"R 1,361.75","1403.65","0","0","0","-1403.65","5","Yes","Yes"
"IMP0500B150A10AR28100.","Impeller 0500mm 'B' 150A10AR 28mm 100Frame Deg00 - 10 DEG","IMPELLER","R 1,361.75","1361.75","0","0","0","-1361.75","1","Yes","Yes"
"IMP0500B150A10PR14071","Impeller 0500mm 'B' 150A10PR 14mm 071Frame Deg00 - 18 DEG",,"R 1,009.45","1087.1","0","0","0","-1087.1","2","Yes","Yes"
"IMP0500B150A10PR140711","Impeller 0500mm 'B' 150A10PR 14mm 071Frame Deg00 - 12 DEG",,"R 1,164.75","1164.75","0","0","0","-1164.75","1","Yes","Yes"
"IMP0560B150A05AR14071","Impeller 0560mm 'B' 150A05AR 14mm 071Frame Deg00 - 20 DEG",,"R 1,076.25","1076.25","0","0","0","-1076.25","1","Yes","Yes"
"IMP0560B150A05AR28100","Impeller 0560mm 'B' 150A05AR 28mm 100Frame Deg00 - 22 DEG",,"R 1,076.25","1076.25","0","0","0","-1076.25","2","Yes","Yes"
"IMP0560B150A05PR14071","Impeller 0560mm 'B' 150A05PR 14mm 071Frame Deg00 20 DEG",,"R 782.25","782.25","0","0","0","-782.25","1","Yes","Yes"
"IMP0560B150A10AR14071","Impeller 0560mm 'B' 150A10AR 14mm 071Frame Deg00 10 DEG FM3517",,"R 1,517.75","1517.75","0","0","0","-1517.75","1","Yes","Yes"
"IMP0560B150A10AR19080","Impeller 0560mm 'B' 150A10AR 19mm 080Frame Deg00 - 15 DEG",,"R 1,634.50","1634.5","0","0","0","-1634.5","9","Yes","Yes"
"IMP0560B150A10AR19080.","Impeller 0560mm 'B' 150A10AR 19mm 080Frame Deg00 - 20 DEG",,"R 1,517.75","1634.5","0","0","0","-1634.5","2","Yes","Yes"
"IMP0560B150A10AR19080..","Impeller 0560mm 'B' 150A10AR 19mm 080Frame Deg00 - 12 DEG",,"R 1,751.25","1751.25","0","0","0","-1751.25","2","Yes","Yes"
"IMP0560B150A10AR19080...","Impeller 0560mm 'B' 150A10AR 19mm 080Frame Deg00 13 DEG FM3516",,"R 1,517.75","1517.75","0","0","0","-1517.75","1","Yes","Yes"
"IMP0560B150A10AR24090","Impeller 0560mm 'B' 150A10AR 24mm 090Frame Deg00 - 33 DEG",,"R 1,751.25","1751.25","0","0","0","-1751.25","1","Yes","Yes"
"IMP0560B150A10AR24090.","Impeller 0560mm 'B' 150A10AR 24mm 090Frame Deg00 - 28 DEG",,"R 1,751.25","1751.25","0","0","0","-1751.25","2","Yes","Yes"
"IMP0560B150A10PR14071","Impeller 0560mm 'B' 150A10PR 14mm 071Frame",,"R 1,009.45","1009.45","0","0","0","-1009.45","1","Yes","Yes"
"IMP0560B150A10PR19080","Impeller 0560mm 'B' 150A10PR 19mm 080Frame Deg00 - 11 DEG",,"R 1,164.75","1164.75","0","0","0","-1164.75","1","Yes","Yes"
"IMP0560B250A14AR19080","Impeller 0560mm 'B' 250A14AR19mm 080Frame",,"R 2,104.70","2104.7","0","0","0","-2104.7","1","Yes","Yes"
"IMP0560B250A14AR24090","Impeller 0560mm 'B' 250A14AR 24mm 090Frame Deg00 - 31 DEG","IMPELLER","R 2,098.20","2098.2","0","0","0","-2098.2","1","Yes","Yes"
"IMP0560B250A14AR28100","Impeller 0560mm 'B' 250A14AR 28mm 100Frame Deg00 - 32 DEG","IMPELLER","R 2,104.70","2104.7","0","0","0","-2104.7","1","Yes","Yes"
"IMP0560B250A14PR24090","Impeller 0560mm 'B' 250A14PR 24mm 090Frame",,"R 1,860.00","1860","0","0","0","-1860","2","Yes","Yes"
"IMP0630B150A10AR24090","Impeller 0630mm 'B' 150A10AR 24mm 090Frame Deg00 -27 DEG",,"R 1,517.75","1611.15","0","0","0","-1611.15","5","Yes","Yes"
"IMP0630B150A10AR28100","Impeller 0630mm 'B' 150A10AR 28mm 100Frame Deg00 - 29 DEG","IMPELLER","R 1,517.75","1517.75","0","0","0","-1517.75","2","Yes","Yes"
"IMP0630B250A14AR24090","Impeller 0630mm 'B' 250A14AR 24mm 090Frame",,"R 1,612.00","2086.5","0","0","0","-2086.5","3","Yes","Yes"
"IMP0630B250A14AR28100","Impeller 0630mm 'B' 250A14AR 28mm 100Frame",,"R 2,323.75","2442.91","0","0","0","-2442.91","9","Yes","Yes"
"IMP0630B250A14PR28100","Impeller 0630mm 'B' 250A14PR 28mm 100Frame Deg00 - 30 DEG",,"R 1,860.00","1860","0","0","0","-1860","1","Yes","Yes"
"IMP0710A150A10AR28100","Impeller 0710mm 'A' 150A10AR 28mm 100Frame Deg00 - 38 DEG",,"R 1,517.75","1576.12","0","0","0","-1576.12","8","Yes","Yes"
"IMP0710B150A05AR28100","Impeller 0710mm 'B' 150A05AR 28mm 100Frame Deg00 - 35 DEG",,"R 1,076.25","1076.25","0","0","0","-1076.25","3","Yes","Yes"
"IMP0710B150A05PR24090","Impeller 0710mm 'B' 150A05PR 24mm 090Frame Deg00 -21 DEG",,"R 782.25","782.25","0","0","0","-782.25","3","Yes","Yes"
"IMP0710B150A10AR28100","Impeller 0710mm 'B' 150A10AR 28mm 100Frame Deg00 - 33 DEG",,"R 1,751.25","1751.25","0","0","0","-1751.25","2","Yes","Yes"
"IMP0710B150A10AR28100.","Impeller 0710mm 'B' 150A10AR 28mm 100Frame Deg00 - 38 DEG",,"R 1,751.25","1751.25","0","0","0","-1751.25","2","Yes","Yes"
"IMP0710B250A07PR240903","Impeller 0710mm 'B' 250A07PR 24mm 090Frame Deg00 -24 DEG",,"R 1,324.50","1324.5","0","0","0","-1324.5","1","Yes","Yes"
"IMP0710B250A14AR28100","Impeller 0710mm 'B' 250A14AR 28mm 100Frame",,"R 2,323.75","2145.82","0","0","0","-2145.82","4","Yes","Yes"
"IMP0710B250A14PR24090","Impeller 0710mm 'B' 250A14PR 24mm 090Frame",,"R 1,612.00","1736","0","0","0","-1736","4","Yes","Yes"
"IMP0800B150A10AR28100","Impeller 0800mm 'B' 150A10AR 28mm 100Frame Deg00 - 25 DEG",,"R 1,647.75","1664.65","0","0","0","-1664.65","15","Yes","Yes"
"IMP0800B150A10AR28100.","Impeller 0800mm 'B' 150A10AR 28mm 100Frame Deg00 -14 DEG",,"R 1,647.75","1732.25","0","0","0","-1732.25","3","Yes","Yes"
"IMP0800B150A10PR28100","Impeller 0800mm 'B' 150A10PR 28mm 100Frame Deg 25",,"R 1,901.25","1753.95","0","0","0","-1753.95","5","Yes","Yes"
"IMP0800B250A14AR28100","Impeller 0800mm 'B' 250A14AR 28mm 100Frame",,"R 1,612.00","1612","0","0","0","-1612","1","Yes","Yes"
"IMP0800B250A14AR38132","Impeller 0800mm 'B' 250A14AR 38mm 132Frame Deg00 - 35 DEG",,"R 2,597.70","2562","0","0","0","-2562","8","Yes","Yes"
"IMP0900B250A14AR28","900/250/14 13 deg pitch 28mm bore form B Aluminium Blades",,"R 2,505.75","2505.75","0","0","0","-2505.75","1","Yes","Yes"
"IMP0900B250A14AR38","900/250/14 15 deg pitch 38mm bore form B Aluminium Blades",,"R 2,594.15","2594.15","0","0","0","-2594.15","1","Yes","Yes"
"IMP0900B250A14AR38132","Impeller 0900mm 'B' 250A14AR 38mm 132Frame Deg00 - 15 DEG","IMPELLER","R 2,594.15","2594.15","0","0","0","-2594.15","2","Yes","Yes"
"IMP1000B250A14AR38132","Impeller 1000mm 'B' 250A14AR 38mm 132Frame Deg00 - 25 DEG",,"R 2,993.25","2993.25","0","0","0","-2993.25","2","Yes","Yes"
"IMP1220 Impeller","c/w 18.5 kW 4 Pole 380 V",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"IMP315LDA","315diam LDA Impeller",,"R 1,249.00","1249","0","0","0","-1249","1","Yes","Yes"
"IMP400LDA","400diam LDA Impeller",,"R 1,249.00","1249","0","0","0","-1249","-1","Yes","Yes"
"IMP400LDP","400diam LDP Impeller",,"R 5,000.00","3706.67","0","0","0","-3706.67","3","Yes","Yes"
"IMP560LDP","LDP 560/250/12/1440-Form B - 15 degrees",,"R 2,871.00","2287.33","0","0","0","-2287.33","3","Yes","Yes"
"IMP800LDA","LDA 800-9-A16",,"R 1,249.00","1249","0","0","0","-1249","1","Yes","Yes"
"Impeller 0710mm 'B' 150A10AR","24mm 090Frame 13 DEG",,"R 1,517.75","1517.75","0","0","0","-1517.75","1","Yes","Yes"
"Impeller 0710mm 'B' 250A14AR","24mm 090 Frame 10 DEG",,"R 2,323.75","2323.75","0","0","0","-2323.75","3","Yes","Yes"
"Impeller 560mm 'B' 150A10AR","14mm 071Frame 12DEG",,"R 1,517.75","1517.75","0","0","0","-1517.75","3","Yes","Yes"
"Impeller 630mm 'B' 150A10AR","24mm 090Frame 15DEG",,"R 1,517.75","1517.75","0","0","0","-1517.75","2","Yes","Yes"
"Impeller 630mm 'B' 250A14AR","24mm 090Frame 15 DEG",,"R 2,323.75","2323.75","0","0","0","-2323.75","1","Yes","Yes"
"Impeller 710mm 'B' 250A14R","24mm 090Frame 12 DEG",,"R 2,323.75","2323.75","0","0","0","-2323.75","1","Yes","Yes"
"Impeller Plate Mount Fans","Spare Impeller",,"R 0.00","0","0","0","0","0","-1","Yes","Yes"
"Impeller shaft","Impeller shaft+2 keys. Stainless Steel",,"R 600.00","600","0","0","0","-600","2","Yes","Yes"
"Induced Draft Plan","INSPECTION TEST PALN (ITP)",,"R 2,955.79","2955.79","0","0","0","-2955.79","1","Yes","Yes"
"INLET-CONE","18 Inch Inlet Cone",,"R 1,600.00","1600","0","0","0","-1600","12","Yes","Yes"
"Installation","Attenuators",,"R 0.00","9478.26","0","0","0","-9478.26","2","Yes","Yes"
"J48821","BCC-2 450 c/w 5.5kw 4P 380V DIDW",,"R 0.00","0","69896","80380.4","0","69896","0","Yes","Yes"
"J57174BRG","BCC-2 560 Bearings",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"J57174IMP","BCC-2 560 Impeller set",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"J57174INC","BCC-2 560 Inlet Cone",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"J57174SHT","BCC-2 560 Shaft",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"J70889 FAN","BCC-2 900/1.0 SISW c/w 7.5Kw 4P 380V",,"R 74,600.00","74600","0","0","0","-74600","1","Yes","Yes"
"J89867 AVM","Anti Vibration Mount-Set",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"J95929","BCC-2 315 Class 1 DIDW c/w 2.2kw 4P 380V",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"J96093","BCC-2 355 DIDW c/w 3.0kw 2P 380V",,"R 0.00","0","54623","62816.45","0","54623","0","Yes","Yes"
"J96202-BCC-2315","BCC-2 315 Class 1 AR 4A DIDW excl motor",,"R 24,840.00","23613.33","0","0","0","-23613.33","3","Yes","Yes"
"JA2 18000Btu","JASA-H18A4/JA2",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI300F400","JAXI 300 F400 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI315F300","JAXI 315 F300 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI355F300","JAXI 355 F300 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI355F400","JAXI 355 F400 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI400F300","JAXI 400 F300 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI400F400","JAXI 400 F400 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI450F300","JAXI 450 F300 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI450F400","JAXI 450 F400 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI500F300","JAXI 500 F300 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JAXI500F400","JAXI 500 F400 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JB1948","HPLV 630/0.71 c/w 4.0kw 2890rpm 525V Motor",,"R 25,000.00","4750","0","0","0","-4750","10","Yes","Yes"
"JC25776 BEARING SET","c/w TIMAKE PLUMMER BLOCK",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"JC25776 SHAFT","ONLY",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"JC6202","BCC-2 Class 1 DI2DW c/w 2,2kW 4P 400V - 2522RPM",,"R 0.00","0","0","0","0","0","-2","Yes","Yes"
"JC9756","BCC-2 315 Class 1 DIDW c/w 2.2kw 4P 380V - 2845RPM",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"JG/S6","600mm 380V 2.2KW 1400rpm",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"JN2002-GNTBOOT-500-00-06","GRANITE CHELSEA BOOTS BLACK 6",,"R 931.76","931.76","0","0","0","-931.76","1","Yes","Yes"
"JN2002-GNTBOOT-500-00-07","GRANITE CHELSEA BOOTS BLACK 7",,"R 931.76","931.76","0","0","0","-931.76","1","Yes","Yes"
"JN3002-TUNBOOT-600-00-07","TUNGSTEN BOOT BLACK 7","FM - UNIFORM","R 592.63","592.64","0","0","0","-592.64","2","Yes","Yes"
"JN3002-TUNBOOT-600-00-09","TUNGSTEN BOOT BLACK 9","FM - UNIFORM","R 592.63","592.63","0","0","0","-592.63","1","Yes","Yes"
"JRAD50F300","JRAD 50 F300 'C / 2H","FM - KAYITES","R 8,234.75","8234.75","0","0","0","-8234.75","4","Yes","Yes"
"JRAD50F400","JRAD 50 F400 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JRAD70F300","JRAD 70 F300 'C / 2H","FM - KAYITES","R 10,200.65","10200.65","0","0","0","-10200.65","0","Yes","Yes"
"JRAD70F400","JRAD 70 F400 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JRAD90F300","JRAD 90 F300 'C / 2H","FM - KAYITES","R 10,609.51","10609.51","0","0","0","-10609.51","0","Yes","Yes"
"JRAD90F400","JRAD 90 F400 'C / 2H","FM - KAYITES","R 0.00","0","0","0","0","0","0","Yes","Yes"
"JTPOLY-6398B-600-03-M","WORK T BLACK M",,"R 194.15","194.15","0","0","0","-194.15","2","Yes","Yes"
"JTPOLY-6398B-600-04-L","WORK T BLACK L","FM - UNIFORM","R 194.15","194.15","0","0","0","-194.15","2","Yes","Yes"
"K03MS II ATEX","K03MS II ATEX 3G/D II GOR-A ATEX II2G Ex db eb IIC T3 Gb kW 0,55 B34 IIC T3 +PTC V380 50 Hz IE2",,"R 43,631.28","43631.28","0","0","0","-43631.28","0","Yes","Yes"
"K03MS055S","SCL-K03 MS-0.55kW-1","FM - FPZ","R 0.00","0","0","0","0","0","1","Yes","Yes"
"K04MS11S","SCL-K04 MS-1.1kW-1-220V","FM - FPZ","R 6,609.77","6609.77","0","0","0","-6609.77","5","Yes","Yes"
"K04MS11T","SCL-K04 MS-1.1kW","FM - FPZ","R 6,334.99","6335","0","0","0","-6335","6","Yes","Yes"
"K04MS15T","SCL-K04 MS-1.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K05MS11S","SCL-K05 MS-1.1kW-1-220V","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K05MS11T","SCL-K05 MS-1.1kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K05MS15T","SCL-K05 MS-1.5kW","FM - FPZ","R 8,220.23","8276.56","0","0","0","-8276.56","4","Yes","Yes"
"K05MS22S","SCL-K04 MS-2.2kW-1-220V","FM - FPZ","R 0.00","0","0","0","0","0","1","Yes","Yes"
"K05MS22T","SCL-K05 MS-2.2kW","FM - FPZ","R 8,273.66","8273.66","0","0","0","-8273.66","1","Yes","Yes"
"K05MS3T","SCL-K05 MS-3kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K05TD3","SCL-K05 TD-3kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K05TD4","SCL-K05 TD-4kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K05TS3","SCL-K05 TS-3kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K05TS4","SCL-K05 TS-4kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K06MS22","SCL-K06 MS-2.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K06MS3","SCL-K06 MS-3.0kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K06MS4","SCL-K06 MS-4W","FM - FPZ","R 11,126.36","7417.57","0","0","0","-7417.57","3","Yes","Yes"
"K06TD4","SCL-K06 TD-4.0kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K06TD55","SCL-K06 TD-5.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K06TD75","SCL-K06 TD-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K06TS4","SCL-K06 TS-4.0kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K06TS55","SCL-K06 TS-5.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K06TS75","SCL-K06 TS-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07MS22","SCL-K07 MS-2.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07MS3","SCL-K07 MS-3.0kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07MS4","SCL-K07 MS-4kW","FM - FPZ","R 22,800.65","15200.44","0","0","0","-15200.44","0","Yes","Yes"
"K07MS55","SCL-K07 MS-5.5kW","FM - FPZ","R 0.00","0","0","0","0","0","-1","Yes","Yes"
"K07RMD4","SCL-K07R MD-4.0kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07RMD55","SCL-K07R MD-5.5kW","FM - FPZ","R 0.00","0","0","0","0","0","2","Yes","Yes"
"K07TD55","SCL-K07 TD-5.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07TD75","SCL-K07 TD-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07TD92","SCL-K07 TD-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07TS11","SCL-K07 TS-11kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07TS55","SCL-K07 TS-5.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07TS75","SCL-K07 TS-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K07TS92","SCL-K07 TS-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08MS4","SCL-K08 MS-4kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08MS55","SCL-K08 MS-5.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08MS75","SCL-K08 MS-7.5kW","FM - FPZ","R 30,692.13","30692.13","0","0","0","-30692.13","-2","Yes","Yes"
"K08MS92","SCL-K08 MS-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08RMD75","SCL-K08R MD MOR-7.5kw 380V","FM - FPZ","R 0.00","0","92442","106308.3","0","92442","0","Yes","Yes"
"K08TD11","SCL-K08 TD-11kW","FM - FPZ","R 0.00","0","0","0","0","0","1","Yes","Yes"
"K08TD15","SCL-K08 TD-15kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08TD75","SCL-K08 TD-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08TD92","SCL-K08 TD-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08TS11","SCL-K08 TS-11kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08TS15","SCL-K08 TS-15kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08TS75","SCL-K08 TS-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K08TS92","SCL-K08 TS-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K09MD55","SCL-K09 MD-5.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K09MD75","SCL-K09 MD-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","2","Yes","Yes"
"K09MS11","SCL-K09 MS-11kW","FM - FPZ","R 0.00","0","0","0","0","0","1","Yes","Yes"
"K09MS4","SCL-K09 MS-4kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K09MS55","SCL-K09 MS-5.5kW","FM - FPZ","R 37,510.41","37510.41","0","0","0","-37510.41","0","Yes","Yes"
"K09MS75","SCL-K09 MS-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K09MS92","SCL-K09 MS-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K09TD11","SCL-K09 TD-11kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K09TD15","SCL-K09 TD-15kW","FM - FPZ","R 55,365.17","0","0","0","0","0","0","Yes","Yes"
"K09TS11","SCL-K09 TS-11kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K09TS15","SCL-K09 TS-15kW","FM - FPZ","R 64,921.97","64921.97","0","0","0","-64921.97","0","Yes","Yes"
"K10MD75","SCL-K10 MD-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K10MD92","SCL-K10 MD-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","2","Yes","Yes"
"K10MS11","SCL-K10 MS-11kW","FM - FPZ","R 40,775.36","40775.36","0","0","0","-40775.36","-3","Yes","Yes"
"K10MS15","SCL-K10 MS-15kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K10MS55","SCL-K10 MS-5.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K10MS75","SCL-K10 MS-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","2","Yes","Yes"
"K10MS92","SCL-K10 MS-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","1","Yes","Yes"
"K10TD11","SCL-K10 T D-11kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K10TD15","SCL-K10 TD-15kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K10TD185","SCL-K10 TD-18.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K10TS11","SCL-K10 TS-11kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K10TS15","SCL-K10 TS-15kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K10TS185","SCL-K10 TS-18.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11MD11","SCL-K11 MD-11kW","FM - FPZ","R 0.00","0","0","0","0","0","1","Yes","Yes"
"K11MD75","SCL-K11 MD-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11MS11","SCL-K11 MS-11kW","FM - FPZ","R 48,810.59","48810.59","0","0","0","-48810.59","-10","Yes","Yes"
"K11MS15","SCL-K11 MS-15kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11MS185","SCL-K11 MS-18.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11MS75","SCL-K11 MS-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11MS92","SCL-K11 MS-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11TD15","SCL-K11 TD-15kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11TD185","SCL-K11 TD-18.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11TS15","SCL-K11 TS-15kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11TS185","SCL-K11 TS-18.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K11TS22","SCL-K11 TS-22kW","FM - FPZ","R 0.00","0","0","0","0","0","-5","Yes","Yes"
"K11TS30","SCL E11-TS GOR-C 30KW 400/690-50 V-Hz",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"K12MD11","SCL-K12 MD-11kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K12MD15","SCL-K12 MD-15kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K12MS11","SCL-K12 MS-11kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K12MS15","SCL-K12 MS-15kW","FM - FPZ","R 40,843.51","0","0","0","0","0","0","Yes","Yes"
"K12MS185","SCL-K12 MS-18.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K12MS92","SCL-K12 MS-9.2kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K12TD185","SCL-K12 TD-18.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K431A5F","D 1F-1,05KW X DDMP 8/9 TIG M6A1",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"K431A8B","D 1F-2,0KW X DDMP 10/8 M6A4",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"K75MS4","SCL-K75 MS-4kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"K75MS55","SCL-K75 MS-5.5kW","FM - FPZ","R 28,578.65","0","0","0","0","0","0","Yes","Yes"
"K75MS75","SCL-K75 MS-7.5kW","FM - FPZ","R 0.00","0","0","0","0","0","0","Yes","Yes"
"KAF100","KAF 100","FM - KAYITES","R 0.00","0","0","0","0","0","10","Yes","Yes"
"KAF125","KAF 125","FM - KAYITES","R 0.00","0","0","0","0","0","3","Yes","Yes"
"KAF150","KAF 150","FM - KAYITES","R 0.00","0","0","0","0","0","5","Yes","Yes"
