Code,Description,Type,Category,Supplier,On Hand,Demand,Min,On Order,Lead,Status,   Avg Cost   , Total ,
HWP100/001,"500mm Dia Fan Guard 3mm Spiral, 4mm Support, Mild Steel, Uncoated",,,,0,,,0,,, R433.36 , R4 766.96 ,
HWP100/001-,800mm Dia Fan Guard,,,,0,,,0,,, R498.00 , R1 992.00 ,
I&T,Installation and Training,,,,0,,,0,,, R3 599.00 ,   R                             -    ,
ID75/180OD,Cooling Spinner - 75mm ID - 180 OD,,,,0,,,0,,, R850.00 ,   R                             -    ,
IMA0500B150A10AR24090,Impeller 0500mm 'B' 150A10AR 24mm 090Frame Deg00(aluminium),,,,0,,,0,,,   R                         -    ,   R                             -    ,
IM-CF,Light duty Impeller,,,,0,,,0,,,   R                         -    ,   R                             -    ,
Imepeller 560mm 'B' 250A10AR,19mm 080Frame 12DEG,,,,0,,,0,,,   R                         -    ,   R                             -    ,
Imepeller 560mm 'B' 250A14AR,19mm 080Frame 15DEG,,,,0,,,0,,, R2 104.70 , R4 209.40 ,
Imp BI,"Set pitch, Crop & Balance impeller",,,,0,,,0,,, R7 509.50 , R7 509.50 ,
IMP0315B150A05PR14071,Impeller 0315mm 'B' 150A05PR 14mm 071Frame Deg00 -10 DEG,,,,0,,,0,,, R782.25 , R1 564.50 ,
IMP0315B150A10AR14071,Impeller 0315mm 'B' 150A10AR 14mm 071Frame Deg00 -26 DEG,,,,0,,,0,,, R1 571.25 , R3 142.50 ,
IMP0315B150A10PR14071,Impeller 0315mm 'B' 150A10PR 14mm 071Frame Deg00 21 DEG,,,,0,,,0,,, R1 164.75 , R1 164.75 ,
IMP0400B150A05PR14071,Impeller 0400mm 'B' 150A05PR 14mm 071Frame Deg00 - 10 DEG,,,,0,,,0,,, R782.25 , R782.25 ,
IMP0400B150A05PR19080,Impeller 0400mm 'B' 150A05PR 19mm 080Frame - 23Deg,,,,0,,,0,,, R858.75 , R4 293.75 ,
IMP0400B150A05PR24090,Impeller 0400mm 'B' 150A05PR 24mm 090Frame - 29Deg,,,,0,,,0,,, R782.25 , R782.25 ,
IMP0400B150A10PR14071,Impeller 0400mm 'B' 150A10PR 14mm 071Frame Deg00 19 DEG,,,,0,,,0,,, R1 164.75 , R1 164.75 ,
IMP0500B150A05AR19080,Impeller 0500mm 'B' 150A05AR 19mm 080Frame Deg00 - 10 DEG,,,,0,,,0,,, R985.50 , R985.50 ,
IMP0500B150A05AR24090,Impeller 0500mm 'B' 150A05AR 24mm 090Frame Deg00 -14 DEG,,,,0,,,0,,, R985.50 , R985.50 ,
IMP0500B150A05PR14071,Impeller 0500mm 'B' 150A05PR 14mm 071Frame Deg00 -17 DEG,,,,0,,,0,,, R782.25 , R782.25 ,
IMP0500B150A10AR14071,Impeller 0500mm 'B' 150A10AR 14mm 071Frame Deg00 -10 DEG,,,,0,,,0,,, R1 571.25 , R1 571.25 ,
IMP0500B150A10AR24090,Impeller 0500mm 'B' 150A10AR 24mm 090Frame Deg16,,,,0,,,0,,, R1 571.25 , R1 571.25 ,
IMP0500B150A10AR24090.,Impeller 0500mm 'B' 150A10AR 24mm 090Fram 16deg,,,,0,,,0,,, R1 571.25 , R1 571.25 ,
IMP0500B150A10AR28100,Impeller 0500mm 'B' 150A10AR 28mm 100Frame Deg00 -25 DEG,,,,0,,,0,,, R1 571.25 , R1 571.25 ,
IMP0500B150A10PR14071,Impeller 0500mm 'B' 150A10PR 14mm 071Frame Deg00 - 18 DEG,,,,0,,,0,,, R1 164.75 , R1 164.75 ,
IMP0500B150A10PR140711,Impeller 0500mm 'B' 150A10PR 14mm 071Frame Deg00 - 12 DEG,,,,0,,,0,,, R1 164.75 , R1 164.75 ,
IMP0560B150A05AR14071,Impeller 0560mm 'B' 150A05AR 14mm 071Frame Deg00 - 20 DEG,,,,0,,,0,,, R1 076.25 , R1 076.25 ,
IMP0560B150A05AR28100,Impeller 0560mm 'B' 150A05AR 28mm 100Frame Deg00 - 22 DEG,,,,0,,,0,,, R1 076.25 , R2 152.50 ,
IMP0560B150A05PR14071,Impeller 0560mm 'B' 150A05PR 14mm 071Frame Deg00 20 DEG,,,,0,,,0,,, R782.25 , R782.25 ,
IMP0560B150A10AR14071,Impeller 0560mm 'B' 150A10AR 14mm 071Frame Deg00 10 DEG FM3517,,,,0,,,0,,, R1 517.75 , R1 517.75 ,
IMP0560B150A10AR19080,Impeller 0560mm 'B' 150A10AR 19mm 080Frame Deg00 - 15 DEG,,,,0,,,0,,, R1 634.50 , R14 710.50 ,
IMP0560B150A10AR19080.,Impeller 0560mm 'B' 150A10AR 19mm 080Frame Deg00 - 20 DEG,,,,0,,,0,,, R1 751.25 , R1 751.25 ,
IMP0560B150A10AR19080..,Impeller 0560mm 'B' 150A10AR 19mm 080Frame Deg00 - 12 DEG,,,,0,,,0,,, R1 751.25 , R3 502.50 ,
IMP0560B150A10AR19080...,Impeller 0560mm 'B' 150A10AR 19mm 080Frame Deg00 13 DEG FM3516,,,,0,,,0,,, R1 517.75 , R1 517.75 ,
IMP0560B150A10AR24090,Impeller 0560mm 'B' 150A10AR 24mm 090Frame Deg00 - 33 DEG,,,,0,,,0,,, R1 751.25 , R1 751.25 ,
IMP0560B150A10AR24090.,Impeller 0560mm 'B' 150A10AR 24mm 090Frame Deg00 - 28 DEG,,,,0,,,0,,, R1 751.25 , R3 502.50 ,
IMP0560B150A10PR14071,Impeller 0560mm 'B' 150A10PR 14mm 071Frame,,,,0,,,0,,, R1 009.45 , R1 009.45 ,
IMP0560B150A10PR19080,Impeller 0560mm 'B' 150A10PR 19mm 080Frame Deg00 - 11 DEG,,,,0,,,0,,, R1 164.75 , R1 164.75 ,
IMP0560B250A14AR19080,Impeller 0560mm 'B' 250A14AR19mm 080Frame,,,,0,,,0,,, R2 104.70 , R2 104.70 ,
IMP0560B250A14PR24090,Impeller 0560mm 'B' 250A14PR 24mm 090Frame,,,,0,,,0,,, R1 860.00 , R3 720.00 ,
IMP0630B150A10AR24090,Impeller 0630mm 'B' 150A10AR 24mm 090Frame Deg00 -27 DEG,,,,0,,,0,,, R1 634.50 , R6 538.00 ,
IMP0630B250A14AR24090,Impeller 0630mm 'B' 250A14AR 24mm 090Frame,,,,0,,,0,,, R2 086.50 , R6 259.50 ,
IMP0630B250A14AR28100,Impeller 0630mm 'B' 250A14AR 28mm 100Frame,,,,0,,,0,,, R2 476.96 , R17 338.72 ,
IMP0630B250A14PR28100,Impeller 0630mm 'B' 250A14PR 28mm 100Frame Deg00 - 30 DEG,,,,0,,,0,,, R1 860.00 , R1 860.00 ,
IMP0710A150A10AR28100,Impeller 0710mm 'A' 150A10AR 28mm 100Frame Deg00 - 38 DEG,,,,0,,,0,,, R1 751.25 , R3 502.50 ,
IMP0710B150A05AR28100,Impeller 0710mm 'B' 150A05AR 28mm 100Frame Deg00 - 35 DEG,,,,0,,,0,,, R1 076.25 , R3 228.75 ,
IMP0710B150A05PR24090,Impeller 0710mm 'B' 150A05PR 24mm 090Frame Deg00 -21 DEG,,,,0,,,0,,, R782.25 , R2 346.75 ,
IMP0710B150A10AR28100,Impeller 0710mm 'B' 150A10AR 28mm 100Frame Deg00 - 33 DEG,,,,0,,,0,,, R1 751.25 , R3 502.50 ,
IMP0710B150A10AR28100.,Impeller 0710mm 'B' 150A10AR 28mm 100Frame Deg00 - 38 DEG,,,,0,,,0,,, R1 751.25 , R3 502.50 ,
IMP0710B250A07PR240903,Impeller 0710mm 'B' 250A07PR 24mm 090Frame Deg00 -24 DEG,,,,0,,,0,,, R1 324.50 , R1 324.50 ,
IMP0710B250A14AR28100,Impeller 0710mm 'B' 250A14AR 28mm 100Frame,,,,0,,,0,,, R1 967.88 , R3 935.76 ,
IMP0710B250A14PR24090,Impeller 0710mm 'B' 250A14PR 24mm 090Frame,,,,0,,,0,,, R1 736.00 , R6 944.00 ,
IMP0800B150A10AR28100,Impeller 0800mm 'B' 150A10AR 28mm 100Frame Deg00 - 25 DEG,,,,0,,,0,,, R1 901.25 , R1 901.25 ,
IMP0800B150A10AR28100.,Impeller 0800mm 'B' 150A10AR 28mm 100Frame Deg00 -14 DEG,,,,0,,,0,,, R1 774.50 , R3 549.00 ,
IMP0800B150A10PR28100,Impeller 0800mm 'B' 150A10PR 28mm 100Frame Deg 25,,,,0,,,0,,, R1 753.95 , R8 769.75 ,
IMP0800B250A14AR28100,Impeller 0800mm 'B' 250A14AR 28mm 100Frame,,,,0,,,0,,, R1 612.00 , R1 612.00 ,
IMP0800B250A14AR38132,Impeller 0800mm 'B' 250A14AR 38mm 132Frame Deg00 - 35 DEG,,,,0,,,0,,, R2 562.00 , R20 496.00 ,
IMP1000B250A14AR38132,Impeller 1000mm 'B' 250A14AR 38mm 132Frame Deg00 - 25 DEG,,,,0,,,0,,, R2 993.25 , R5 986.50 ,
IMP1220 Impeller,c/w 18.5 kW 4 Pole 380 V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
IMP315LDA,315diam LDA Impeller,,,,0,,,0,,, R1 249.00 , R1 249.00 ,
IMP400LDA,400diam LDA Impeller,,,,0,,,0,,, R1 249.00 ,   R                             -    ,
IMP400LDP,400diam LDP Impeller,,,,0,,,0,,, R3 706.67 , R11 120.01 ,
IMP560LDP,LDP 560/250/12/1440-Form B - 15 degrees,,,,0,,,0,,, R2 287.33 , R6 861.99 ,
IMP800LDA,LDA 800-9-A16,,,,0,,,0,,, R1 249.00 , R1 249.00 ,
Impeller 0710mm 'B' 150A10AR,24mm 090Frame 13 DEG,,,,0,,,0,,, R1 517.75 , R1 517.75 ,
Impeller 0710mm 'B' 250A14AR,24mm 090 Frame 10 DEG,,,,0,,,0,,, R2 323.75 , R6 971.25 ,
Impeller 560mm 'B' 150A10AR,14mm 071Frame 12DEG,,,,0,,,0,,, R1 517.75 , R4 553.25 ,
Impeller 630mm 'B' 150A10AR,24mm 090Frame 15DEG,,,,0,,,0,,, R1 517.75 , R3 035.50 ,
Impeller 630mm 'B' 250A14AR,24mm 090Frame 15 DEG,,,,0,,,0,,, R2 323.75 , R2 323.75 ,
Impeller 710mm 'B' 250A14R,24mm 090Frame 12 DEG,,,,0,,,0,,, R2 323.75 , R2 323.75 ,
Impeller shaft,Impeller shaft+2 keys. Stainless Steel,,,,0,,,0,,, R600.00 , R1 200.00 ,
Induced Draft Plan,INSPECTION TEST PALN (ITP),,,,0,,,0,,, R2 955.79 , R2 955.79 ,
INLET-CONE,18 Inch Inlet Cone,,,,0,,,0,,, R1 600.00 , R9 600.00 ,
Installation,Attenuators,,,,0,,,0,,, R18 956.52 , R18 956.52 ,
J48821,BCC-2 450 c/w 5.5kw 4P 380V DIDW,,,,0,,,0,,,   R                         -    ,   R                             -    ,
J57174BRG,BCC-2 560 Bearings,,,,0,,,0,,,   R                         -    ,   R                             -    ,
J57174IMP,BCC-2 560 Impeller set,,,,0,,,0,,,   R                         -    ,   R                             -    ,
J57174INC,BCC-2 560 Inlet Cone,,,,0,,,0,,,   R                         -    ,   R                             -    ,
J57174SHT,BCC-2 560 Shaft,,,,0,,,0,,,   R                         -    ,   R                             -    ,
J70889 FAN,BCC-2 900/1.0 SISW c/w 7.5Kw 4P 380V,,,,0,,,0,,, R74 600.00 , R74 600.00 ,
J89867 AVM,Anti Vibration Mount-Set,,,,0,,,0,,,   R                         -    ,   R                             -    ,
J95929,BCC-2 315 Class 1 DIDW c/w 2.2kw 4P 380V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
J96093,BCC-2 355 DIDW c/w 3.0kw 2P 380V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
J96202-BCC-2315,BCC-2 315 Class 1 AR 4A DIDW excl motor,,,,0,,,0,,, R23 613.33 , R70 839.99 ,
JA2 18000Btu,JASA-H18A4/JA2,,,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI300F400,JAXI 300 F400 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI315F300,JAXI 315 F300 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI355F300,JAXI 355 F300 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI355F400,JAXI 355 F400 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI400F300,JAXI 400 F300 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI400F400,JAXI 400 F400 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI450F300,JAXI 450 F300 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI450F400,JAXI 450 F400 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI500F300,JAXI 500 F300 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JAXI500F400,JAXI 500 F400 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
JB1948,HPLV 630/0.71 c/w 4.0kw 2890rpm 525V Motor,,,,0,,,0,,, R4 750.00 , R47 500.00 ,
JC25776 BEARING SET,c/w TIMAKE PLUMMER BLOCK,,,,3,,,0,,,   R                         -    ,   R                             -    ,
JC25776 SHAFT,ONLY,,,,0,,,6,,,   R                         -    ,   R                             -    ,
JC6202,"BCC-2 Class 1 DI2DW c/w 2,2kW 4P 400V - 2522RPM",,,,0,,,6,,,   R                         -    ,   R                             -    ,
JC9756,BCC-2 315 Class 1 DIDW c/w 2.2kw 4P 380V - 2845RPM,,,,1,,,0,,,   R                         -    ,   R                             -    ,
JG/S6,600mm 380V 2.2KW 1400rpm,,,,0,,,0,,,   R                         -    ,   R                             -    ,
JRAD50F300,JRAD 50 F300 'C / 2H,,FM - KAYITES,,0,,,0,,, R8 234.75 , R32 939.00 ,
JRAD50F400,JRAD 50 F400 'C / 2H,,FM - KAYITES,,0,,,2,,,   R                         -    ,   R                             -    ,
JRAD70F300,JRAD 70 F300 'C / 2H,,FM - KAYITES,,0,,,0,,, R10 200.65 ,   R                             -    ,
JRAD70F400,JRAD 70 F400 'C / 2H,,FM - KAYITES,,2,,,4,,,   R                         -    ,   R                             -    ,
JRAD90F300,JRAD 90 F300 'C / 2H,,FM - KAYITES,,0,,,0,,, R10 609.51 ,   R                             -    ,
JRAD90F400,JRAD 90 F400 'C / 2H,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
K03MS055S,SCL-K03 MS-0.55kW-1,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K04MS11S,SCL-K04 MS-1.1kW-1-220V,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K04MS11T,SCL-K04 MS-1.1kW,,FM - FPZ,,0,,,0,,, R5 498.01 , R5 498.01 ,
K04MS15T,SCL-K04 MS-1.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K05MS11S,SCL-K05 MS-1.1kW-1-220V,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K05MS11T,SCL-K05 MS-1.1kW,,FM - FPZ,,3,,,0,,,   R                         -    ,   R                             -    ,
K05MS15T,SCL-K05 MS-1.5kW,,FM - FPZ,,0,,,0,,, R8 274.83 , R16 549.66 ,
K05MS22S,SCL-K04 MS-2.2kW-1-220V,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K05MS22T,SCL-K05 MS-2.2kW,,FM - FPZ,,0,,,0,,, R9 086.94 ,   R                             -    ,
K05MS3T,SCL-K05 MS-3kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K05TD3,SCL-K05 TD-3kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K05TD4,SCL-K05 TD-4kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K05TS3,SCL-K05 TS-3kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K05TS4,SCL-K05 TS-4kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K06MS22,SCL-K06 MS-2.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K06MS3,SCL-K06 MS-3.0kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K06MS4,SCL-K06 MS-4W,,FM - FPZ,,0,,,0,,, R7 417.57 , R22 252.71 ,
K06TD4,SCL-K06 TD-4.0kW,,FM - FPZ,,2,,,0,,,   R                         -    ,   R                             -    ,
K06TD55,SCL-K06 TD-5.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K06TD75,SCL-K06 TD-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K06TS4,SCL-K06 TS-4.0kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K06TS55,SCL-K06 TS-5.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K06TS75,SCL-K06 TS-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07MS22,SCL-K07 MS-2.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07MS3,SCL-K07 MS-3.0kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07MS4,SCL-K07 MS-4kW,,FM - FPZ,,0,,,0,,, R15 200.44 , R30 400.88 ,
K07MS55,SCL-K07 MS-5.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07RMD4,SCL-K07R MD-4.0kW,,FM - FPZ,,1,,,0,,,   R                         -    ,   R                             -    ,
K07RMD55,SCL-K07R MD-5.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07TD55,SCL-K07 TD-5.5kW,,FM - FPZ,,1,,,0,,,   R                         -    ,   R                             -    ,
K07TD75,SCL-K07 TD-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07TD92,SCL-K07 TD-9.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07TS11,SCL-K07 TS-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07TS55,SCL-K07 TS-5.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07TS75,SCL-K07 TS-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K07TS92,SCL-K07 TS-9.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08MS4,SCL-K08 MS-4kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08MS55,SCL-K08 MS-5.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08MS75,SCL-K08 MS-7.5kW,,FM - FPZ,,0,,,0,,, R30 692.13 ,   R                             -    ,
K08MS92,SCL-K08 MS-9.2kW,,FM - FPZ,,3,,,0,,,   R                         -    ,   R                             -    ,
K08RMD75,SCL-K08R MD MOR-7.5kw 380V,,FM - FPZ,,1,,,0,,,   R                         -    ,   R                             -    ,
K08TD11,SCL-K08 TD-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08TD15,SCL-K08 TD-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08TD75,SCL-K08 TD-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08TD92,SCL-K08 TD-9.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08TS11,SCL-K08 TS-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08TS15,SCL-K08 TS-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08TS75,SCL-K08 TS-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K08TS92,SCL-K08 TS-9.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K09MD55,SCL-K09 MD-5.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K09MD75,SCL-K09 MD-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K09MS11,SCL-K09 MS-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K09MS4,SCL-K09 MS-4kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K09MS55,SCL-K09 MS-5.5kW,,FM - FPZ,,0,,,0,,, R37 510.41 ,   R                             -    ,
K09MS75,SCL-K09 MS-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K09MS92,SCL-K09 MS-9.2kW,,FM - FPZ,,1,,,0,,,   R                         -    ,   R                             -    ,
K09TD11,SCL-K09 TD-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K09TD15,SCL-K09 TD-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K09TS11,SCL-K09 TS-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K09TS15,SCL-K09 TS-15kW,,FM - FPZ,,0,,,0,,, R64 921.97 ,   R                             -    ,
K10MD75,SCL-K10 MD-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10MD92,SCL-K10 MD-9.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10MS11,SCL-K10 MS-11kW,,FM - FPZ,,0,,,0,,, R40 775.36 ,   R                             -    ,
K10MS15,SCL-K10 MS-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10MS55,SCL-K10 MS-5.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10MS75,SCL-K10 MS-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10MS92,SCL-K10 MS-9.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10TD11,SCL-K10 T D-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10TD15,SCL-K10 TD-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10TD185,SCL-K10 TD-18.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10TS11,SCL-K10 TS-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10TS15,SCL-K10 TS-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K10TS185,SCL-K10 TS-18.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11MD11,SCL-K11 MD-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11MD75,SCL-K11 MD-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11MS11,SCL-K11 MS-11kW,,FM - FPZ,,0,,,0,,, R48 810.59 ,   R                             -    ,
K11MS15,SCL-K11 MS-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11MS185,SCL-K11 MS-18.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11MS75,SCL-K11 MS-7.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11MS92,SCL-K11 MS-9.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11TD15,SCL-K11 TD-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11TD185,SCL-K11 TD-18.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11TS15,SCL-K11 TS-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11TS185,SCL-K11 TS-18.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11TS22,SCL-K11 TS-22kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K11TS30,SCL E11-TS GOR-C 30KW 400/690-50 V-Hz,,,,0,,,0,,,   R                         -    ,   R                             -    ,
K12MD11,SCL-K12 MD-11kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K12MD15,SCL-K12 MD-15kW,,FM - FPZ,,10,,,0,,,   R                         -    ,   R                             -    ,
K12MS11,SCL-K12 MS-11kW,,FM - FPZ,,3,,,0,,,   R                         -    ,   R                             -    ,
K12MS15,SCL-K12 MS-15kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K12MS185,SCL-K12 MS-18.5kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K12MS92,SCL-K12 MS-9.2kW,,FM - FPZ,,0,,,0,,,   R                         -    ,   R                             -    ,
K12TD185,SCL-K12 TD-18.5kW,,FM - FPZ,,8,,,0,,,   R                         -    ,   R                             -    ,
K431A5F,"D 1F-1,05KW X DDMP 8/9 TIG M6A1",,,,12,,,0,,,   R                         -    ,   R                             -    ,
K431A8B,"D 1F-2,0KW X DDMP 10/8 M6A4",,,,0,,,0,,,   R                         -    ,   R                             -    ,
K75MS4,SCL-K75 MS-4kW,,FM - FPZ,,15,,,0,,,   R                         -    ,   R                             -    ,
K75MS55,SCL-K75 MS-5.5kW,,FM - FPZ,,7,,,0,,,   R                         -    ,   R                             -    ,
K75MS75,SCL-K75 MS-7.5kW,,FM - FPZ,,17,,,0,,,   R                         -    ,   R                             -    ,
KAF100,KAF 100,,FM - KAYITES,,30,,,0,,,   R                         -    ,   R                             -    ,
KAF125,KAF 125,,FM - KAYITES,,22,,,0,,,   R                         -    ,   R                             -    ,
KAF150,KAF 150,,FM - KAYITES,,30,,,0,,,   R                         -    ,   R                             -    ,
KAF160,KAF 160,,FM - KAYITES,,21,,,0,,,   R                         -    ,   R                             -    ,
KAF200,KAF 200,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
KAF250,KAF 250,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
KAF315,KAF 315,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
KAT 15/15 C2,TWIN BARE FAN 380/380 CW FCC,,,,0,,,0,,, R10 899.00 , R10 899.00 ,
KAZ120,KAZ 120,,FM - KAYITES,,0,,,0,,, R479.32 , R6 710.48 ,
KAZ140,KAZ 140,,FM - KAYITES,,0,,,0,,, R492.37 , R3 938.96 ,
KAZ160,KAZ 160,,FM - KAYITES,,0,,,0,,, R555.49 , R9 443.33 ,
KDAXIS200,KDAXIS 200,,FM - KAYITES,,0,,,0,,, R432.77 , R12 983.10 ,
KDAXIS250,KDAXIS 250,,FM - KAYITES,,0,,,0,,, R538.30 , R14 534.10 ,
KDAXIS300,KDAXIS 300,,FM - KAYITES,,0,,,0,,, R605.50 , R16 954.00 ,
KDAXIS350,KDAXIS 350,,FM - KAYITES,,0,,,0,,, R672.82 , R22 875.88 ,
KDD 10/10-4/1,Fan KDD 10/10 550W 4P-1 3SY,,,,3,,,0,,, R4 215.00 ,   R                             -    ,
Keep-plate5mmOD,"Keep Plate 5mm OD. 42mm, ID. 6mm",,,,0,,,0,,, R4.73 , R1 191.96 ,
KHA50,Speed Controller,,,,3,,,0,,,   R                         -    ,   R                             -    ,
KOMU250,KOMU250 - Non Return Damper,,Vents,,0,,,0,,, R114.86 , R2 641.78 ,
KP2-S c/w,373 Watts 220/1/50,,,,0,,,0,,,   R                         -    ,   R                             -    ,
KP6-H AT,Attenuator,,,,0,,,0,,,   R                         -    ,   R                             -    ,
KP6-H.,Filter Unit with Primary and Hepa Filter,,,,0,,,0,,,   R                         -    ,   R                             -    ,
